Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2010-01-04,8.0148344039917,8.0148344039917,7.907454520959395,7.935373519935973,13303600
2010-01-05,7.9461140632629395,8.03846085980793,7.9031619315046555,8.027723031679303,21396400
2010-01-06,8.053494453430176,8.053494453430176,7.903162393117382,7.903162393117382,18720600
2010-01-07,7.97832727432251,8.042755053515165,7.961146096274517,8.004098222150839,10964600
2010-01-08,7.9353742599487305,8.029868270901533,7.9160458464307055,7.980473618409597,14624200
2010-01-11,7.909604549407959,8.019131696940928,7.864504364665022,7.991212691003623,15317700
2010-01-12,7.808666706085205,7.877389778719586,7.739943633450825,7.858061363338439,14886200
2010-01-13,7.795782089233398,7.890276943889808,7.696992758677862,7.8516201068474185,23228200
2010-01-14,7.660480976104736,7.830141399293972,7.6368580884176875,7.791484573270006,20073400
2010-01-15,7.677663326263428,7.7528289332286775,7.626120610598919,7.639006494325964,21169000
2010-01-18,7.8494696617126465,7.875240605486355,7.681957298318241,7.709876298631819,23168400
2010-01-19,7.812963962554932,7.870949223259879,7.782897713132482,7.827997087266156,16895900
2010-01-20,7.613234996795654,7.7635670191228785,7.572430110892721,7.752828373836666,18757500
2010-01-21,7.372707366943359,7.6669281848599615,7.36411677478306,7.641157227623022,24553000
2010-01-22,7.462902545928955,7.47364037135496,7.3147185888655315,7.325456414291536,19025100
2010-01-26,7.280360221862793,7.37485427364391,7.226670252141811,7.3641164435484985,20281200
2010-01-27,7.325456142425537,7.364112967919355,7.196599784364963,7.280356785763927,19908600
2010-01-28,7.432836532592773,7.450016889947016,7.2739139260371735,7.430688475896249,13819200
2010-01-29,7.338342189788818,7.52733104876623,7.286800295040935,7.469345802742128,16106700
2010-02-01,7.3662590980529785,7.407063973965303,7.280355691501048,7.364111861067631,15869300
2010-02-02,7.323308944702148,7.445721966707167,7.314719175218922,7.411360431043366,15289600
2010-02-03,7.310423851013184,7.34049009219082,7.243848017517252,7.312571088564317,16091200
2010-02-04,6.936741828918457,7.288947792828267,6.898084996855801,7.267472139123981,24280300
2010-02-05,6.769230365753174,6.9303002483858815,6.597422245171816,6.82936285977804,29033800
2010-02-08,6.816475868225098,6.928150650707028,6.747752799121817,6.829361341276512,18684700
2010-02-09,6.92385721206665,7.018351241416319,6.893790147995469,6.915266622332027,18104200
2010-02-10,7.009760856628418,7.0290892744745666,6.822920030278143,6.943185832347933,21909900
2010-02-11,7.164388179779053,7.188011892553407,7.029089255226503,7.063450795831813,24110900
2010-02-12,7.258883476257324,7.306130910037362,7.076337913597183,7.087075743298858,19127100
2010-02-17,7.355525016784668,7.409214980410834,7.308277586635617,7.385591265336308,16622400
2010-02-18,7.450018405914307,7.450018405914307,7.2631775782333,7.353377135239007,17017800
2010-02-19,7.377000331878662,7.44142894063244,7.33619625634589,7.392033455456199,11889400
2010-02-22,7.441429138183594,7.492971043462373,7.389886413661001,7.409214832951497,19817500
2010-02-23,7.342637538909912,7.441427673192453,7.301833470326976,7.389884958817055,16937500
2010-02-24,7.288949966430664,7.377001483665532,7.22452216686143,7.364116415298037,13563100
2010-02-25,7.383442401885986,7.409213349365121,7.142910827935227,7.190158247683349,18650100
2010-02-26,7.432836532592773,7.462902772395392,7.346932288090786,7.428541238443315,17804300
2010-03-01,7.501559734344482,7.527330680457464,7.3920317796880015,7.477936025722747,16959300
2010-03-02,7.542364597320557,7.628268852429295,7.542364597320557,7.57028360311745,17108100
2010-03-03,7.548807144165039,7.692695814001603,7.527330673055668,7.576725327741814,19957600
2010-03-04,7.559545516967773,7.621826058825018,7.47578932169118,7.600349586162004,14068900
2010-03-05,7.690547466278076,7.714170352222695,7.602495995550087,7.664775704667333,28235000
2010-03-08,7.666924476623535,7.729205010796743,7.604643942450326,7.718466366168315,15902100
2010-03-09,7.8387322425842285,7.91389784050062,7.615381866998987,7.623972455116167,68696600
2010-03-10,7.9461140632629395,7.980475604820812,7.8709484471187725,7.920343111905479,32196400
2010-03-11,7.956849098205566,8.047048625158544,7.905307213583996,7.931078155894782,19449600
2010-03-12,7.9589996337890625,8.034165246960466,7.958999633789062,7.989065879057624,13940300
2010-03-15,7.896718502044678,7.995507820403576,7.8322907213429485,7.8945704451165355,19839600
2010-03-16,7.991213798522949,7.991213798522948,7.881686635810377,7.931081302856738,12807500
2010-03-17,7.97832727432251,8.049197585661332,7.931079853934189,8.038459759003166,10298100
2010-03-18,7.950408935546875,8.032017899623133,7.894570921457534,7.976179885533793,12061700
2010-03-19,7.7807464599609375,7.965439995404028,7.765713341424268,7.946111583107808,24306500
2010-03-22,7.782894611358643,7.808665554986652,7.623972017291609,7.647595723635421,13489200
2010-03-23,7.692698001861572,7.821553588190856,7.669074286544308,7.812963816547718,17207000
2010-03-24,7.7506818771362305,7.853766491636517,7.645449205675945,7.68840133319532,18683500
2010-03-25,7.559545516967773,7.823699986395364,7.559545516967773,7.802224332976015,17698800
2010-03-26,7.409212112426758,7.634709708521478,7.3662599943031175,7.604643471607984,28820300
2010-03-29,7.4951171875,7.559544962274225,7.327603989994693,7.460755653004174,19312800
2010-03-30,7.4736409187316895,7.581020819343477,7.465050330064276,7.535921457704997,12365900
2010-03-31,7.600347518920898,7.600347518920898,7.411358707108325,7.430687117626014,16551700
2010-04-01,7.677663326263428,7.709877625959205,7.634711199750283,7.6583349102946965,13721900
2010-04-05,7.7335004806518555,7.785043196072376,7.692696411241541,7.720615416229476,12120300
2010-04-06,7.74853515625,7.819405475026907,7.694845198080564,7.714172796547564,13410200
2010-04-07,7.688401222229004,7.782896065256529,7.643301857644238,7.7184674652855145,15079400
2010-04-08,7.690547466278076,7.70987587786439,7.615381057111972,7.641152818722715,13552100
2010-04-09,7.565988063812256,7.750681632853902,7.565988063812256,7.688401090875921,17017800
2010-04-12,7.385587215423584,7.608937538252016,7.361963513303198,7.570280720099273,29883800
2010-04-13,7.342637538909912,7.42854178978769,7.2803578172293575,7.402770842221818,19661600
2010-04-14,7.355525016784668,7.407067742333072,7.31257288203497,7.366262845661135,17377900
2010-04-15,7.215930938720703,7.398477310518663,7.203045871489589,7.361967708461532,43408800
2010-04-16,7.0763349533081055,7.211633844831638,7.026940301948874,7.1944526691013575,48889400
2010-04-19,7.2051897048950195,7.2051897048950195,6.981839360333416,7.001167771290545,23996300
